imdbId,director_name
58230,Robert McKimson
58230,Arthur Lubin
58230,Gerry Chiniquy
58230,Hawley Pratt
58249,Luis Buñuel
58265,Billy Wilder
58279,Masaki Kobayashi
58329,Alfred Hitchcock
58331,Robert Stevenson
58333,Roger Corman
58379,Ishirô Honda
58385,George Cukor
58404,John Huston
58430,Kaneto Shindô
58450,Jacques Demy
58461,Sergio Leone
58530,Byron Haskin
58536,Larry Roemer
58571,Norman Jewison
58576,John Frankenheimer
58578,Paul Almond
58586,Blake Edwards
58625,Hiroshi Teshigahara
58652,Hideo Gosha
58672,Jules Dassin
58700,Ubaldo Ragona
58700,Sidney Salkow
58708,Charles Walters
58715,Pier Paolo Pasolini
58756,George Roy Hill
58777,Cy Endfield
58886,Carol Reed
58888,Akira Kurosawa
58898,Jean-Luc Godard
58946,Gillo Pontecorvo
58953,William Asher
58997,Otto Preminger
59017,Elliot Silverstein
59026,Bill Melendez
59037,Sam Peckinpah
59037,Norman Jewison
59043,William Wyler
59049,Luigi Comencini
59095,Elio Petri
59113,David Lean
59124,Ishirô Honda
59124,Norman Taurog
59125,Freddie Francis
59170,Russ Meyer
59183,Robert Aldrich
59229,Federico Fellini
59243,Blake Edwards
59245,Jean Negulesco
59245,George Stevens
59245,David Lean
59260,Richard Lester
59297,William Castle
59319,Sidney J. Furie
59320,Seijun Suzuki
59418,Sam Peckinpah
59550,Leonid Gaidai
59557,Daniel Mann
59573,Guy Green
59575,Sidney Lumet
59578,Sergio Leone
59592,Jean-Luc Godard
59643,Wojciech Has
59646,Roman Polanski
59673,Kihachi Okamoto
59674,Vincente Minnelli
59711,Andrew V. McLaglen
59712,Stanley Kramer
59742,Robert Wise
59749,Martin Ritt
59793,Robert Stevenson
59797,Ken Annakin
59798,Fred Coe
59800,Terence Young
59855,Wan Laiming
59855,Cheng Tang
59885,Mark Robson
59903,Clive Donner
60086,Lewis Gilbert
60095,Edward Dmytryk
60107,Andrei Tarkovsky
60138,Robert Bresson
60153,Leslie H. Martinson
60161,Eldar Ryazanov
60176,Michelangelo Antonioni
60182,James Hill
60182,Tom McGowan
60196,Sergio Leone
60200,Vittorio De Sica
60277,Kihachi Okamoto
60330,Gerald Thomas
60345,Chuck Jones
60345,Ben Washam
60371,Bruce Brown
60390,François Truffaut
60397,Richard Fleischer
60420,Norman Tokar
60429,Frederick De Cordova
60438,Richard Lester
60453,Silvio Narizzano
60474,Gérard Oury
60522,William Wyler
60550,Bill Melendez
60584,Leonid Gaidai
60665,Fred Zinnemann
60668,Peter Brook
60748,Henry Hathaway
60802,Jirí Menzel
60827,Ingmar Bergman
60841,John Gilling
60908,Philippe de Broca
60921,Norman Jewison
60934,Robert Wise
60955,John Frankenheimer
61089,Sydney Pollack
61101,Seijun Suzuki
61107,Alfred Hitchcock
61132,Pier Paolo Pasolini
61138,Claude Lelouch
61170,Charles Walters
61177,Woody Allen
61177,Senkichi Taniguchi
61184,Mike Nichols
61199,Wolfgang Reitherman
61385,Gene Saks
61391,Stanley Donen
61395,Luis Buñuel
61407,Franco Zeffirelli
61418,Arthur Penn
61439,Joshua Logan
61452,Richard Talmadge
61452,Joseph McGrath
61452,Ken Hughes
61452,John Huston
61452,Robert Parrish
61452,Val Guest
61495,Éric Rohmer
61512,Stuart Rosenberg
61549,Ki-duk Kim
61557,Freddie Francis
61578,Robert Aldrich
61584,Richard Fleischer
61597,Cheh Chang
61655,Roman Polanski
61722,Mike Nichols
61735,Stanley Kramer
61747,Ted Post
61770,Martin Ritt
61791,David Swift
61809,Richard Brooks
61810,Gordon Douglas
61811,Norman Jewison
61847,Masaki Kobayashi
61852,Wolfgang Reitherman
61882,Seijun Suzuki
61996,Robert Bresson
62043,Shôhei Imamura
62083,Édouard Molinaro
62136,Jacques Tati
62138,John Boorman
62168,Roy Ward Baker
62229,Jean-Pierre Melville
62362,George Roy Hill
62374,Frederick Wiseman
62376,James Clavell
62457,Louis Malle
62467,Terence Young
62480,Jean-Luc Godard
62512,Lewis Gilbert
62622,Stanley Kubrick
62687,Albert Uderzo
62687,René Goscinny
62711,Roger Vadim
62737,Robert Stevenson
62759,Leonid Gaidai
62765,Peter Yates
62793,Winston Hibler
62794,Ralph Nelson
62803,Ken Hughes
62994,William Wyler
63032,Sergio Corbucci
63056,John Boorman
63186,Kihachi Okamoto
63227,Anthony Harvey
63230,Jules Bass
63230,Arthur Rankin Jr.
63230,Takeya Nakamura
63285,Michael Reeves
63350,George A. Romero
