imdbId,ordering,actor_name,category,characters
22718,3,Sévérine Lerczinska,actress,Chloë Anne Marie| la bonne
22718,4,Jean Gehret,actor,Vigour
22835,1,Fredric March,actor,Dr. Henry Jekyll|Mr. Hyde
22835,2,Miriam Hopkins,actress,Ivy Pearson
22835,3,Rose Hobart,actress,Muriel Carew
22835,4,Holmes Herbert,actor,Dr. Lanyon
22879,1,Gary Cooper,actor,Frederic
22879,2,Helen Hayes,actress,Catherine
22879,3,Adolphe Menjou,actor,Rinaldi
22879,4,Mary Philips,actress,Ferguson
22913,1,Wallace Ford,actor,Phroso
22913,2,Leila Hyams,actress,Venus
22913,3,Olga Baclanova,actress,Cleopatra
22913,4,Roscoe Ates,actor,Roscoe
22958,1,Greta Garbo,actress,Grusinskaya
22958,2,John Barrymore,actor,Baron Felix von Geigern
22958,3,Joan Crawford,actress,Flaemmchen
22958,4,Wallace Beery,actor,General Director Preysing
23027,1,Groucho Marx,actor,Professor Quincy Adams Wagstaff
23027,2,Chico Marx,actor,Baravelli
23027,3,Harpo Marx,actor,Pinky
23027,4,The Marx Brothers,actor,
23042,1,Paul Muni,actor,James Allen
23042,2,Glenda Farrell,actress,Marie
23042,3,Helen Vinson,actress,Helen
23042,4,Noel Francis,actress,Linda
23245,1,Boris Karloff,actor,Imhotep
23245,2,Zita Johann,actress,Helen Grosvenor
23245,3,David Manners,actor,Frank Whemple
23245,4,Arthur Byron,actor,Sir Joseph Whemple
23427,1,Paul Muni,actor,Tony
23427,2,Ann Dvorak,actress,Cesca
23427,3,Karen Morley,actress,Poppy
23427,4,Osgood Perkins,actor,Lovo
23563,1,Rudolf Klein-Rogge,actor,Docteur Mabuse
23563,2,Otto Wernicke,actor,Inspector Karl Lohmann
23563,3,Thomy Bourdelle,actor,Professeur Baum
23563,4,Gustav Diessl,actor,Thomas Kent
23622,1,Miriam Hopkins,actress,Lily
23622,2,Kay Francis,actress,Mariette Colet
23622,3,Herbert Marshall,actor,Gaston Monescu
23622,4,Charles Ruggles,actor,The Major
23753,1,Richard Arlen,actor,Cheshire Cat
23753,2,Roscoe Ates,actor,Fish
23753,3,William Austin,actor,Gryphon
23753,4,Gary Cooper,actor,White Knight
23948,1,Marie Dressler,actress,Carlotta Vance
23948,2,John Barrymore,actor,Larry Renault
23948,3,Wallace Beery,actor,Dan Packard
23948,4,Jean Harlow,actress,Kitty Packard
23969,1,Groucho Marx,actor,Rufus T. Firefly
23969,2,Harpo Marx,actor,Pinky
23969,3,Chico Marx,actor,Chicolini
23969,4,Zeppo Marx,actor,Bob Roland
24025,1,Dolores del Rio,actress,Belinha De Rezende
24025,2,Gene Raymond,actor,Roger Bond
24025,3,Raul Roulien,actor,Julio Rubeiro
24025,4,Ginger Rogers,actress,Honey Hale
24034,1,Warner Baxter,actor,Julian Marsh
24034,2,Bebe Daniels,actress,Dorothy Brock
24034,3,George Brent,actor,Pat Denning
24034,4,Ruby Keeler,actress,Peggy Sawyer
24069,1,Warren William,actor,J. Lawrence Bradford
24069,2,Joan Blondell,actress,Carol King
24069,3,Aline MacMahon,actress,Trixie Lorraine
24069,4,Ruby Keeler,actress,Polly Parker
24184,1,Claude Rains,actor,Dr. Jack Griffin aka The Invisible Man
24184,2,Gloria Stuart,actress,Flora Cranley
24184,3,William Harrigan,actor,Dr. Arthur Kemp
24184,4,Henry Travers,actor,Dr. Cranley
24216,1,Fay Wray,actress,Ann Darrow
24216,2,Robert Armstrong,actor,Carl Denham
24216,3,Bruce Cabot,actor,Jack Driscoll
24216,4,Frank Reicher,actor,Capt. Englehorn
24264,1,Katharine Hepburn,actress,Jo March
24264,2,Joan Bennett,actress,Amy March
24264,3,Paul Lukas,actor,Professor Bhaer
24264,4,Edna May Oliver,actress,Aunt March
24601,1,Stan Laurel,actor,Stan Laurel
24601,2,Oliver Hardy,actor,Oliver Hardy
24601,3,Charley Chase,actor,Charley
24601,4,Mae Busch,actress,Mrs. Lottie Hardy
24803,1,Jean Dasté,actor,Surveillant Huguet
24803,2,Robert le Flon,actor,Surveillant Pète-Sec
24803,3,Louis Lefebvre,actor,Caussat
24803,4,Du Verron,actor,Surveillant-Général Bec-de-Gaz
24803,8,Delphin,actor,Principal du Collège
24803,9,Léon Larive,actor,Professeur
24803,10,Madame Émile,actress,Mère Haricot
24844,1,Dita Parlo,actress,Juliette
24844,2,Jean Dasté,actor,Jean
24844,3,Gilles Margaritis,actor,Le camelot (peddler)
24844,4,Louis Lefebvre,actor,Le gosse (cabin boy)
24852,1,Stan Laurel,actor,Stannie Dum
24852,2,Oliver Hardy,actor,Ollie Dee
24852,3,Virginia Karns,actress,Mother Goose
24852,4,Charlotte Henry,actress,Bo-Peep
24966,1,Boris Babochkin,actor,Chapayev - Vasiliy Ivanovich
24966,2,Boris Blinov,actor,Furmanov - Division Commissar
24966,3,Varvara Myasnikova,actress,Anna - 'Anka' machine gunner
24966,4,Leonid Kmit,actor,Petka - Chapayev's orderly
25164,1,Fred Astaire,actor,Guy Holden
25164,2,Ginger Rogers,actress,Mimi Glossop
25164,3,Alice Brady,actress,Aunt Hortense
25164,4,Edward Everett Horton,actor,Egbert 'Pinky' Fitzgerald
25316,1,Clark Gable,actor,Peter Warne
25316,2,Claudette Colbert,actress,Ellie Andrews
25316,3,Walter Connolly,actor,Alexander Andrews
25316,4,Roscoe Karns,actor,Oscar Shapeley
25316,10,Jameson Thomas,actor,King Westley
25452,1,Leslie Banks,actor,Bob Lawrence
25452,2,Edna Best,actress,Jill Lawrence
25452,3,Peter Lorre,actor,Abbott
25452,4,Frank Vosper,actor,Ramon Levine
25456,1,Colman 'Tiger' King,actor,A Man of Aran
25456,2,Maggie Dirrane,actress,His Wife
25456,3,Michael Dirrane,actor,Their Son
25456,4,Pat Mullin,actor,Shark Hunter
25586,1,Bette Davis,actress,Mildred
25586,2,Leslie Howard,actor,Philip
25586,3,Frances Dee,actress,Sally
25586,4,Kay Johnson,actress,Norah
25878,1,William Powell,actor,Nick Charles
25878,2,Myrna Loy,actress,Nora Charles
25878,3,Maureen O'Sullivan,actress,Dorothy Wynant
25878,4,Nat Pendleton,actor,Lt. John Guild
25919,1,John Barrymore,actor,Oscar Jaffe
25919,2,Carole Lombard,actress,Lily Garland formerly Mildred Plotka
25919,3,Walter Connolly,actor,Oliver Webb
25919,4,Roscoe Karns,actor,Owen O'Malley
26029,1,Robert Donat,actor,Hannay
26029,2,Madeleine Carroll,actress,Pamela
26029,3,Lucie Mannheim,actress,Miss Smith
26029,4,Godfrey Tearle,actor,Professor Jordan
26056,1,Katharine Hepburn,actress,Alice Adams
26056,2,Fred MacMurray,actor,Arthur Russell
26056,3,Fred Stone,actor,Virgil Adams
26056,4,Evelyn Venable,actress,Mildred Palmer
26071,1,Greta Garbo,actress,Anna Karenina
26071,2,Fredric March,actor,Count Vronsky
26071,3,Freddie Bartholomew,actor,Sergei
26071,4,Maureen O'Sullivan,actress,Kitty
26138,1,Boris Karloff,actor,The Monster
26138,2,Elsa Lanchester,actress,Mary Wollstonecraft Shelley|The Monster's Mate
26138,3,Colin Clive,actor,Henry Frankenstein
26138,4,Valerie Hobson,actress,Elizabeth
26174,1,Errol Flynn,actor,Peter Blood
26174,2,Olivia de Havilland,actress,Arabella Bishop
26174,3,Lionel Atwill,actor,Colonel Bishop
26174,4,Basil Rathbone,actor,Levasseur
26421,1,Dick Powell,actor,Dick Curtis
26421,2,Adolphe Menjou,actor,Nicolai Nicoleff
26421,3,Gloria Stuart,actress,Ann Prentiss
26421,4,Alice Brady,actress,Mrs. Prentiss
26676,1,W.C. Fields,actor,Ambrose Wolfinger
26676,2,Mary Brian,actress,Hope Wolfinger
26676,3,Kathleen Howard,actress,Leona Wolfinger
26676,4,Grady Sutton,actor,Claude Neselrode
26714,1,James Cagney,actor,Bottom - the Weaver
26714,2,Dick Powell,actor,Lysander - In Love with Hermia
26714,3,Ian Hunter,actor,Theseus - Duke of Athens
26714,4,Verree Teasdale,actress,Hippolyta - Queen of the Amazons - Betrothed to Theseus
26752,1,Charles Laughton,actor,Captain Bligh
26752,2,Clark Gable,actor,Fletcher Christian
26752,3,Franchot Tone,actor,Roger Byam
26752,4,Herbert Mundin,actor,Smith
26778,1,Groucho Marx,actor,Otis B. Driftwood
26778,2,Chico Marx,actor,Fiorello
26778,3,Harpo Marx,actor,Tomasso
26778,4,Kitty Carlisle,actress,Rosa Castaldi
26942,1,Irene Dunne,actress,Stephanie
26942,2,Fred Astaire,actor,Huck Haines
26942,3,Ginger Rogers,actress,Lizzie Gatz aka Tanka Scharwenka
26942,4,Randolph Scott,actor,John Kent
27075,1,Ronald Colman,actor,Sydney Carton
27075,2,Elizabeth Allan,actress,Lucie Manette
27075,3,Edna May Oliver,actress,Miss Pross
27075,4,Reginald Owen,actor,C.J. Stryver
27125,1,Fred Astaire,actor,Jerry Travers
27125,2,Ginger Rogers,actress,Dale Tremont
27125,3,Edward Everett Horton,actor,Horace Hardwick
27125,4,Erik Rhodes,actor,Alberto Beddini
27260,1,William Powell,actor,Nick Charles
27260,2,Myrna Loy,actress,Nora
27260,3,James Stewart,actor,David
27260,4,Elissa Landi,actress,Selma
27300,1,Fredric March,actor,Anthony Adverse
27300,2,Olivia de Havilland,actress,Angela Guisseppi
27300,3,Donald Woods,actor,Vincent Nolte
27300,4,Anita Louise,actress,Maria
27630,1,Fred Astaire,actor,Bake Baker
27630,2,Ginger Rogers,actress,Sherry Martin
27630,3,Randolph Scott,actor,Bilge Smith
27630,4,Harriet Nelson,actress,Connie Martin
27652,1,Sylvia Sidney,actress,Katherine Grant
27652,2,Spencer Tracy,actor,Joe Wilson
27652,3,Walter Abel,actor,District Attorney
27652,4,Bruce Cabot,actor,Kirby Dawson
27664,1,Gary Cooper,actor,O'Hara
27664,2,Madeleine Carroll,actress,Judy Perrie
27664,3,Akim Tamiroff,actor,General Yang
27664,4,Dudley Digges,actor,Mr. Wu
27698,1,William Powell,actor,Florenz Ziegfeld Jr.
27698,2,Myrna Loy,actress,Billie Burke
27698,3,Luise Rainer,actress,Anna Held
27698,4,Frank Morgan,actor,Billings
27884,1,Jean Harlow,actress,Gladys Benton
27884,2,William Powell,actor,Bill Chandler
27884,3,Myrna Loy,actress,Connie Allenbury
27884,4,Spencer Tracy,actor,Warren Haggerty
27893,1,Freddie Bartholomew,actor,Cedric 'Ceddie' Errol Jr.
27893,2,Dolores Costello,actress,Mrs. Cedric 'Dearest' Errol
27893,3,C. Aubrey Smith,actor,The Earl of Dorincourt
27893,4,Guy Kibbee,actor,Mr. Silas Hobbs
27948,1,Katharine Hepburn,actress,Mary Stuart
27948,2,Fredric March,actor,Earl of Bothwell
27948,3,Florence Eldridge,actress,Elizabeth Tudor
27948,4,Douglas Walton,actor,Lord Darnley
27977,1,Charles Chaplin,actor,A Factory Worker
27977,2,Paulette Goddard,actress,A Gamin
27977,3,Henry Bergman,actor,Cafe Proprietor
27977,4,Tiny Sandford,actor,Big Bill
27977,7,Chester Conklin,actor,Mechanic
27977,8,Hank Mann,actor,Burglar
27977,9,Stanley Blystone,actor,Gamin's Father
